iter	Logloss
0	0.5849377022
1	0.528656627
2	0.491800084
3	0.4670240438
4	0.4311894514
5	0.416542798
6	0.402460675
7	0.3775167399
8	0.3607786222
9	0.3511029334
10	0.3418129847
11	0.3261247176
12	0.311063151
13	0.3056212888
14	0.3010317975
15	0.2969578054
16	0.2933736395
17	0.2868145253
18	0.2816799231
19	0.2762068307
20	0.270523614
21	0.2683799854
22	0.2655546479
23	0.2642395811
24	0.2622914092
25	0.2582988609
26	0.2550937902
27	0.2524437981
28	0.249223359
29	0.2455172557
30	0.2440179718
31	0.2434433746
32	0.242530515
33	0.2406607528
34	0.2388506349
35	0.2382520622
36	0.2379883347
37	0.2374677503
38	0.2372099932
39	0.2369853275
40	0.236480775
41	0.2361762243
42	0.2354010872
43	0.2350182333
44	0.2344255765
45	0.2332780715
46	0.2330262327
47	0.231798828
48	0.2312709084
49	0.2302185182
50	0.2296472677
51	0.2291385944
52	0.228674504
53	0.2279249819
54	0.2278078422
55	0.2267312317
56	0.22643532
57	0.2255429189
58	0.2251012533
59	0.224745915
60	0.2244286227
61	0.2242944375
62	0.2236871994
63	0.2231599037
64	0.2228727872
65	0.222780713
66	0.2226453958
67	0.2225635013
68	0.2224708366
69	0.221915618
70	0.221844901
71	0.2214604146
72	0.2211834919
73	0.2211068858
74	0.2209182773
75	0.2208671971
76	0.2207918304
77	0.2206752839
78	0.2204500841
79	0.2201027547
80	0.2199177128
81	0.2197527549
82	0.2196798294
83	0.2194734663
84	0.2194147918
85	0.2193600957
86	0.2190483459
87	0.2186510632
88	0.2185791269
89	0.218534952
90	0.218481275
91	0.2184131172
92	0.2181220056
93	0.2178016497
94	0.2171254828
95	0.2168707137
96	0.2167516009
97	0.2166931994
98	0.2166448514
99	0.2164457795
100	0.2163842191
101	0.2163470447
102	0.2163015529
103	0.2158146234
104	0.2155533889
105	0.2152516469
106	0.2150679087
107	0.2149956259
108	0.2147083905
109	0.2146637626
110	0.2146029521
111	0.2143772937
112	0.2143083722
113	0.2140647923
114	0.2140228276
115	0.2139564489
116	0.213918003
117	0.2138615589
118	0.2134270269
119	0.2133195237
120	0.2129093978
121	0.2127417363
122	0.2123802479
123	0.2122364475
124	0.2118487701
125	0.2118068957
126	0.2114973531
127	0.2114404666
128	0.2113896001
129	0.21135095
130	0.2112862965
131	0.2110510441
132	0.2110112458
133	0.2109754321
134	0.2105721506
135	0.2105326084
136	0.2104846898
137	0.2103370911
138	0.2103006393
139	0.2101627823
140	0.2101208724
141	0.2100737984
142	0.2099569564
143	0.2097156049
144	0.2095451674
145	0.2095072053
146	0.2093749679
147	0.2093437261
148	0.2090852114
149	0.2090512774
150	0.2090164977
151	0.2088742374
152	0.2085937722
153	0.2084170477
154	0.2082772767
155	0.2082422472
156	0.2081967892
157	0.2081560232
158	0.2080034476
159	0.2078829704
160	0.2077362041
161	0.2077138436
162	0.2076766577
163	0.2076546836
164	0.2076163903
165	0.2074228445
166	0.2073274137
167	0.2072877285
168	0.207238779
169	0.2071340136
170	0.2070428014
171	0.206874861
172	0.2068198006
173	0.2067884004
174	0.20675733
175	0.2066473656
176	0.2066244284
177	0.2065929638
178	0.2065593999
179	0.2065278772
180	0.2064405506
181	0.2064062043
182	0.2063699513
183	0.206296083
184	0.2062575391
185	0.20607556
186	0.2060352663
187	0.2059358956
188	0.2059061694
189	0.2058772141
190	0.205851506
191	0.2058259844
192	0.2057000417
193	0.2056629284
194	0.2056345287
195	0.2056018726
196	0.2055053728
197	0.2053471254
198	0.2052640392
199	0.2052425018
200	0.2052065601
201	0.2051684395
202	0.2050616013
203	0.2050407671
204	0.2050121447
205	0.2049710327
206	0.2049414508
207	0.204848835
208	0.2048266971
209	0.2048024324
210	0.2047758752
211	0.2047460925
212	0.2047265967
213	0.2046367431
214	0.2045700239
215	0.2045301133
216	0.2045118112
217	0.2044870373
218	0.2043518493
219	0.2043269395
220	0.2042252408
221	0.2041967123
222	0.2041687381
223	0.2041396568
224	0.2041132807
225	0.204097857
226	0.2040758406
227	0.2040494587
228	0.2040247761
229	0.2039215747
230	0.2038911335
231	0.2038597993
232	0.2038174415
233	0.2037978085
234	0.2037763706
235	0.2037188803
236	0.2036923781
237	0.2036045338
238	0.2035738856
239	0.203551587
240	0.2035328281
241	0.203414571
242	0.2033627727
243	0.2032312364
244	0.2031984598
245	0.203179586
246	0.2031534984
247	0.2031266263
248	0.20310405
249	0.2030821666
250	0.2030543682
251	0.2030311836
252	0.2030039886
253	0.2029771384
254	0.2028699892
255	0.2027368188
256	0.2027082033
257	0.2026880677
258	0.2026611694
259	0.2026410035
260	0.2026208991
261	0.2026028019
262	0.2025724513
263	0.202540016
264	0.202458193
265	0.2024020266
266	0.2023850649
267	0.2023327705
268	0.2022511905
269	0.2022246364
270	0.202160848
271	0.2021329765
272	0.2021121793
273	0.2020420226
274	0.2020028837
275	0.2019798447
276	0.2019527815
277	0.2019284934
278	0.2018615059
279	0.2018412355
280	0.2018246198
281	0.2018034017
282	0.2017768566
283	0.2017243349
284	0.2017074704
285	0.2016377789
286	0.2016121402
287	0.2015376028
288	0.201507286
289	0.2014798589
290	0.2014507604
291	0.2013830265
292	0.2013658457
293	0.2013424395
294	0.2013256099
295	0.2013072199
296	0.2012897451
297	0.2012712647
298	0.2012451098
299	0.2012270262
300	0.2012004439
301	0.2011772984
302	0.2011609246
303	0.2011309835
304	0.2011163501
305	0.2010837694
306	0.2009666805
307	0.200946099
308	0.2009209982
309	0.2009006878
310	0.2008796626
311	0.2008494147
312	0.2008280957
313	0.2007771239
314	0.2007558159
315	0.2007377795
316	0.2007026902
317	0.2006732664
318	0.2006142382
319	0.2005894365
320	0.2005539291
321	0.2005181702
322	0.2004945961
323	0.2004551404
324	0.2004264834
325	0.2004042417
326	0.2003824019
327	0.2003547565
328	0.2003324598
329	0.2003072563
330	0.2002836381
331	0.200265006
332	0.2002378898
333	0.2002129628
334	0.2001520313
335	0.2001403362
336	0.2001205851
337	0.2000955068
338	0.2000259807
339	0.200007974
340	0.1999583962
341	0.1999201304
342	0.1998969276
343	0.1998498234
344	0.1998173009
345	0.1997878144
346	0.1997175952
347	0.1996914955
348	0.1996616655
349	0.1996435742
350	0.1996243427
351	0.199602031
352	0.199548527
353	0.199532578
354	0.1994439201
355	0.1993952784
356	0.199382499
357	0.1993380054
358	0.1993080669
359	0.199284941
360	0.1992674724
361	0.1992531361
362	0.1991829468
363	0.199121627
364	0.1990868409
365	0.1990582645
366	0.1990267324
