iter	Passed	Remaining
0	239	239279
1	316	157987
2	398	132408
3	499	124405
4	595	118583
5	669	110847
6	745	105716
7	826	102489
8	895	98601
9	985	97612
10	1084	97474
11	1162	95682
12	1251	95022
13	1334	93991
14	1425	93588
15	1531	94209
16	1646	95191
17	1747	95339
18	1864	96255
19	1949	95548
20	2081	97040
21	2166	96289
22	2267	96330
23	2345	95372
24	2436	95021
25	2522	94511
26	2607	93972
27	2701	93777
28	2792	93512
29	2870	92811
30	2955	92382
31	3040	91988
32	3116	91324
33	3198	90867
34	3276	90348
35	3358	89943
36	3443	89620
37	3526	89285
38	3601	88735
39	3669	88069
40	3753	87797
41	3831	87386
42	3906	86939
43	3990	86696
44	4073	86454
45	4161	86304
46	4234	85853
47	4319	85660
48	4394	85290
49	4461	84762
50	4537	84430
51	4613	84116
52	4694	83878
53	4767	83522
54	4840	83176
55	4918	82918
56	4994	82629
57	5069	82335
58	5148	82115
59	5220	81782
60	5302	81625
61	5368	81226
62	5444	80968
63	5524	80800
64	5596	80497
65	5668	80222
66	5746	80019
67	5827	79865
68	5902	79640
69	5987	79549
70	6053	79209
71	6138	79121
72	6223	79023
73	6322	79110
74	6406	79014
75	6492	78934
76	6590	79005
77	6686	79042
78	6784	79100
79	6862	78917
80	6940	78743
81	7018	78572
82	7102	78468
83	7189	78399
84	7290	78484
85	7368	78308
86	7444	78129
87	7556	78317
88	7641	78219
89	7719	78056
90	7825	78172
91	7898	77953
92	7968	77711
93	8045	77543
94	8123	77386
95	8196	77181
96	8275	77041
97	8344	76801
98	8414	76582
99	8492	76432
100	8566	76250
101	8655	76199
102	8743	76147
103	8831	76085
104	8907	75923
105	8993	75854
106	9080	75785
107	9162	75676
108	9251	75623
109	9328	75473
110	9400	75288
111	9475	75123
112	9554	75000
113	9628	74835
114	9701	74656
115	9802	74704
116	9875	74533
117	9956	74422
118	10152	75166
119	10240	75100
120	10323	74997
121	10411	74928
122	10499	74862
123	10572	74690
124	10651	74563
125	10732	74445
